Track Code,Track Name,Country Code,Time Zone
AFT,ANDOR FARM TRAINING CENTER,USA,America/New_York
ARI,ARINDEL FARM,USA,America/New_York
ASH,ASHWELL STABLES,USA,America/New_York
ATC,ASHWOOD TRAINING CENTER,USA,America/New_York
AHT,ATLANTA HALL TRAINING CENTER,USA,America/New_York
BNR,BAR NONE RANCHES,USA,America/Edmonton
BNT,BENTON TRAINING CENTER,USA,America/Chicago
BLK,BLACKWOOD STABLES,USA,America/New_York
BLF,BOLO FARM,USA,America/New_York
BON,BONITA FARM,USA,America/New_York
BTC,BRAEBURN,USA,America/New_York
BDW,BRIDLEWOOD FARM,USA,America/New_York
BEQ,Burke Equine Training Center,USA,America/New_York
BKE,BURKE TRAINING CENTER,USA,America/Denver
CBV,CABIN VIEW FARM,USA,America/New_York
CTT,CAIN'S THOROUGHBRED TRAINING CENTER,USA,America/New_York
CMF,CALUMET FARM TRAINING CENTER,USA,America/New_York
CBT,CANYON BREEZE TRAINING CENTER,USA,America/Denver
CDH,CARDINAL HILL,USA,America/New_York
CAA,CASSE TRAINING CENTER,USA,America/New_York
CFR,CENTRAL FLORIDA RANCHES,USA,America/New_York
CDT,CHURCHILL TRAINING,USA,America/New_York
CIR,CIRCLE 8 TRAINING CENTER,USA,America/New_York
CGR,CIRCLE G RANCH,USA,America/New_York
CM,CLASSIC MILE,USA,America/New_York
CNS,COLTS NECK STABLES,USA,America/New_York
CCE,COPPER CITY EQUINE,USA,America/New_York
CLT,COURTLANDT FARM,USA,America/New_York
CWS,CROWN'S WAY SOUTH,USA,America/New_York
CRU,CRUPI'S NEW CASTLE FARM INC.,USA,America/New_York
DER,DERBY DREAMS TRAINING & EQUINE CENTER,USA,America/New_York
DOT,DIAMOND OAK TRAINING CENTER,USA,America/New_York
DMC,DMC TRAINING CENTER,USA,America/New_York
DDF,DOUBLE DIAMOND FARM AND TRAINING CENTER,USA,America/New_York
DMT,DOUBLE M TRAINING CENTER,USA,America/Chicago
DLF,DRAGONS LYRE FARMS,USA,America/New_York
DRT,DUNN RANCH TRAINING CENTER,USA,America/Chicago
EPF,EAGLE POINT FARM,USA,America/New_York
EGL,EAGLE ROCK DOWNS,USA,America/New_York
ETC,ECLIPSE TRAINING CENTER,USA,America/New_York
EWT,EDDIE WOODS TRAINING CENTER,USA,America/New_York
ELL,ELLOREE TRAINING CENTER,USA,America/New_York
EDT,EMPRESS DOWNS TRAINING CENTER,USA,America/New_York
EDS,ENDS WELL FARM,USA,America/New_York
EOF,ENDSLEY OAK FARM,USA,America/New_York
EQL,EQUELS TRAINING CENTER,USA,America/New_York
EVR,EVERGREEN TRAINING CENTER,USA,America/New_York
FFM,FOLK FARM,USA,America/New_York
FOL,FOLSOM TRAINING CENTER,USA,America/Chicago
FXP,FOX POINT FARM,USA,America/New_York
FRN,FRONTERA TRAINING CENTER,USA,America/Denver
GDF,GARYDALE FARM TRAINING CENTER,USA,America/New_York
GHT,GLEN HILL FARM,USA,America/New_York
GLC,GLOCKENBURG LLC,USA,America/New_York
GLS,GOLDEN LEGACY STABLES,USA,America/New_York
GLM,GOLDMARK,USA,America/New_York
GDC,GOOD CHANCE FARM,USA,America/New_York
GFT,GOODWIN FARMS TRAINING CENTER,USA,America/New_York
GOE,GRAND OAKS TRAINING CENTER,USA,America/New_York
GTC,GREENTREE TRAINING CENTER,USA,America/New_York
HAM,HAMILTON COUNTY FAIR,USA,America/Chicago
HHT,HENNESSY HILL TRAINING CENTER,USA,America/New_York
HTG,HERITAGE PARK,USA,America/New_York
HTF,HICKORY TREE FARM TRAINING CENTER,USA,America/New_York
HBS,HIDDEN BROOK SOUTH,USA,America/New_York
HPT,HIGHPOINT FARM AND TRAINING CENTER,USA,America/New_York
HPC,HORSE PLAZA TRAINING CENTER,USA,America/Denver
HPP,HORSE PLAZA TRAINING CENTER,USA,America/Denver
HMP,HORSEMAN'S PARK,USA,America/Denver
HFF,HUNT FARM,USA,America/New_York
HBH,HUNTER BROOK HORSE FARM INC.,USA,America/New_York
HUF,HUNTER FARM TRAINING CENTER,USA,America/New_York
ITC,INFIELDS TRAINING CENTER,USA,America/New_York
JDM,JDM TRAINING CENTER,USA,America/New_York
JMF,JUDDMONTE FARM,USA,America/New_York
KIK,KICK START TRAINING CENTER,USA,America/New_York
KFF,KING FISHER TRAINING CENTER,USA,America/New_York
KNF,KINSMAN FARM,USA,America/New_York
LMB,LAMBHOLM SOUTH TRAINING CENTER,USA,America/New_York
LAZ,LAZY E TRAINING CENTER,USA,America/Chicago
LCT,LEVY COUNTY TRAINING CENTER,USA,America/New_York
LIT,LITTLE BROOK TRAINING CENTER,USA,America/New_York
MKT,MACKABEN TRAINING CENTER,USA,America/New_York
MRX,MARGAUX FARM,USA,America/New_York
MCU,MCCUTCHEN TRAINING CENTER,USA,America/New_York
MBF,MCKATHAN BROTHERS FARM,USA,America/New_York
MFT,MCKATHAN FARM TRAINING CENTER,USA,America/New_York
MER,MERCURY EQUINE CENTER,USA,America/New_York
MRY,MERRYLAND FARM,USA,America/New_York
MST,MID SOUTH TRAINING,USA,America/New_York
MBT,MIDDLEBURG TRAINING CENTER,USA,America/New_York
MTC,MIDDLETOWN TRAINING CENTER,USA,America/New_York
MWT,MIDWEST THOROUGHBREDS,USA,America/New_York
NJF,NELSON JONES FARMS AND TRAINING CENTER INC.,USA,America/New_York
NET,NEW EPISODE TRAINING CENTER,USA,America/New_York
NHF,NEW HAVEN FARM,USA,America/New_York
NBS,NIALL BRENNAN STABLES,USA,America/New_York
NTC,NOBLES TRAINING CENTER,USA,America/New_York
OAK,OAKHURST THOROUGHBREDS TRAINING CENTER,USA,America/Los_Angeles
OEC,OAKRIDGE TRAINING CENTER,USA,America/New_York
OHC,OCALA HORSE FARM COMPLEX,USA,America/New_York
OJO,OCALA JOCKEY CLUB TRAINING CENTER,USA,America/New_York
OWT,OCALA RANCHES,USA,America/New_York
OLY,OLYMPIC HILL TRAINING CENTER,USA,America/New_York
OVR,OVERBROOK TRAINING CENTER,USA,America/New_York
OXF,OXFORD TRAINING CENTER,USA,America/New_York
PBD,PALM BEACH DOWNS,USA,America/New_York
PMM,PALM MEADOWS TRAINING CENTER,USA,America/New_York
PTT,PALMETTO THOROUGHBRED TRAINING CENTER,USA,America/New_York
PAY,PAYSON PARK TRAINING CENTER,USA,America/New_York
PEG,PEGASUS THOROUGHBRED TRAINING CENTER,USA,America/Los_Angeles
PNS,PENINSULA FARM,USA,America/New_York
RMF,R & M FARMS,USA,America/Chicago
RCE,RACING EDGE TRAINING CENTER,USA,America/New_York
RDE,RED EARTH TRAINING CENTER,USA,America/Chicago
RIS,RISING SUN FARM,USA,America/New_York
RSD,RIVERSIDE DOWNS,USA,America/Chicago
RMT,ROSS MEADOWS,USA,America/Chicago
SGF,SAGAMORE FARM,USA,America/New_York
STC,SALLISAW EQUINE TRAINING CENTER,USA,America/Chicago
SAM,SAM-SON FARM,USA,America/New_York
SCT,SANDERS CREEK TRAINING CENTER,USA,America/New_York
SCH,SCHULTZ RACING STABLE,USA,America/Denver
SBF,SHADYBROOK FARM INC.,USA,America/New_York
SVR,SILVER SPRINGS TRAINING CENTER,USA,America/New_York
SIL,SILVER STAR EQUINE CENTER,USA,America/Chicago
SLH,SILVERLEAF HILLS TRAINING CENTER,USA,America/New_York
STR,SINATRA THOROUGHBRED RACING,USA,America/New_York
SKY,SKYLIGHT TRAINING CENTER,USA,America/New_York
SLF,SOLERA FARM,USA,America/New_York
SBT,SOUTHERN BREEZE TRAINING CTR,USA,America/New_York
SHS,SOVEREIGN HILL STABLES,USA,America/New_York
SSS,STANLEY STABLES,USA,America/New_York
STF,STARSFELL FARM,USA,America/New_York
